en,es,pt,fr
documentation,documentación | documentar,documentar | documentar o fluxo de trabalho | documentation | documentação | documentação técnica | redação,documentation | documentations | documenter | une
dropbox,dropbox,dropbox,dropbox
dublin core,dublin core,dublin core,dublin core
développement web,ø,desenvolvimento web,développement web
e-mail,ø,e-mail | e-mails,ø
earth-pro,earth-pro,ø,ø
editors,editor | editores,editor | editores,d'éditeur | éditeurs
emojis,ø,emojis,ø
enron,ø,enron,ø
enumerations,ø,enumerações,enumerations
environment variable,variable de entorno,ø,ø
explorar | identify,ø,ø,ø
exploratory data analysis,ø,análise exploratória de dados | exploratory data analysis,ø
find,averiguar | busca | búsqueda | consulta | descubras | descubrir | determinar | encontramos | encontrar | encontrarlo | encontrarlos | encontrarás | encontraría | encontremos | encuentra | encuentras | encuentres | estarás | find | llamado | obtener | pedido | puesto | saber | se nos dificulta | seguir | tomar | ubicar | utiliza | verás,achar | achá-las | descobrir | descobrirá | encontra | encontrada | encontrar | encontrará | encontrasse | encontre | encontrá-las | encontrá-lo | encontrá-los | estar | find | localizar | percebemos que | procura | procurar | procure | ser | terem | verá,avoir | connaître | découvrez | découvrir | existe | find | identifier | imaginez | noterez | rechercher | remarquerez | rencontriez | rendrez | repérer | retrouve | retrouver | savoir | trouve | trouver | trouverez | trouvez | utiliser
for loop,bloque de for | bucle | bucle for | en bucle | falso | for | for looop | for loop | variable,for loop | loop ) for,boucle for | for
formal network methods,formal network methods,ø,ø
ftp,ftp,ø,ø
functions,aplicaciones | funciones,função | funções,fonction | fonctionne | fonctions | outils
generative grammar,ø,ø,grammaire générative
geonewsminer,geonewsminer,geonewsminer,ø
georeference | georeferenced | georeferencing | georeferencing process | georreferenciación | longitude | nc_sc_map_yourlastname.jpg . | options and formatsexport,ø,ø,ø
georeferencing,georeferenciación | georeferenciar | georeferencing | georreferenciación | georreferenciar,georreferenciamento | georreferenciar,ø
georeferencing | metadata | metadata,metadata | metadatos | tirada,metadado | metadados | metadados de coleções,métadonnées | métadonnées du type de contenu | métadonnées détaillées | métadonnées utiles
geospatial data,ø,geospatial data,ø
gephi,gephi,gephi,ø
github | github,archivo | github,github,github
gnu,gnu,gnu,gnu-gpl
google | google,google,google,google
google earth | google earth,google earth,google earth,ø
google maps | google maps | map/cartographic,google maps | maps,google maps,ø
google spreadsheets,ø,ø,google spreadsheets
graphical user interfaces,interfaces gráficas de usuario | las interfaces gráficas de usuario,interfaces,ø
guiding | programming,historiador-programador | lenguaje de programación | mundo real | programación | programador | programar | programas | programming | traductora : open,linguagem | linguagem de programação | linguagens de programação | programar | programação | programming,informatiques | langages | langages de programmation | programmation | programme | programmer | programmeurs | programming
haiti collection,colección haití,ø,ø
hex code,código hex | código hexadecimal,ø,ø
high-level,alto nivel,alto nível | alto-nível,haut niveau
historian,historiador | historiador-programador | historian | humanidades— | traductora,historiador | historian,historian | historien | historiens | l'historien | qu'historiens et historiennes
historical gis,historical gis | sig históricos,ø,ø
historical research,investigación histórica | representación de un,historical research | pesquisa histórica | pesquisa na área de história | pesquisas históricas,recherche historique | recherches historiques
history bot,ø,ø,bot en histoire
historyonics,historyonics,historyonics,historyonics
homebrew,homebrew,ø,ø
html,etiquetas | html,html | html.,:html | code | html | métadonnées | web
html markup,en html | etiquetado en html | etiquetas | etiquetas html | html | marca de html | marcado | marcado de html | marcas de html,julgamento ; além da marcação html | marcadores da linguagem html | marcação html,balisage html | balise | html
htrc feature reader,ø,leitor de recursos htrc,htrc feature reader
hypertext transfer protocol,protocolo de transferencia de hipertexto,protocolo de transferência de hipertexto,hypertexte ou hypertext transfer protocol
indentation,indentación | sangría,indentação | recuo,indentation | indentées | l'indentation
internet | internet,ø,ø,ø
internet archive,ia | internet archive | metadatos bibliográficos,internet archive,ø
internetarchive,internetarchive,internetarchive,ø
introduction,introducción | introduction | introductoria,introduction | introdução,introduction
ipython,ø,ipython,ipython
java,java | java virtual machine o java,ø,ø
java development kit,kit de desarrollo de java,ø,ø
javascript,javascript,javascript,javascript
javaserver,+javaserver,javaserver,javaserver
json,ø,json,json
jstor,jstor,ø,ø
jungle disk,jungle disk,jungle disk,jungle disk
jupyter,jupyter,ficheiro | jupyter | jupyter.ipynb,jupyter | lectorat
jupyter notebook,ø,5 | ficheiro | jupyter notebook | jupyter notebookobserve | jupyter.ipynb,carnet ( s ) jupyter | carnet jupyter | carnets jupyter | jupyter | jupyter notebook | lectorat | notebook | notebooks | version 6.0 des carnets jupyter
jupyter notebooks,cuadernos jupyter,cadernos jupyter | jupyter notebook | jupyter notebooks | notebooks jupyter | notebooks python e r jupyter,carnet jupyter | carnets jupyter | informatiques | jupyter | jupyter notebook | jupyter notebooks
kernel,ø,código | kernel | núcleo,kernel | noyau | noyaux | part
kernels,ø,kernels | núcleos | núcleos de linguagens,des noyaux | kernels | noyaux
kml,kml,ø,ø
komodo,komodo,komodo,bloc | komodo
kwicdict,kwicdicc,ø,ø
lang,lang,lang,lang
lda,lda,ø,ø
leanpub,leanpub,leanpub,leanpub
learning,aprender | aprenderlo | aprendizaje | caracteres | learning,aprendendo | aprender | aprendizado | aprendizagem | aprendizagem de máquina | aprendê-la | de | learning | máquina,.learning | apprendre | l'apprentissage | learning | pédagogique
library,biblioteca | digital | lección | library | librería | módulo | módulo time de python | módulos | paquete | periódicos | programa,biblioteca | bibliotecas | library,bibliothèque | library | module
library of congress,biblioteca del congreso,de catalogação usadas nas bibliotecas | library of congress,bibliothèque du congrès
linux,linux,linux,linux
literate computing,ø,computação,informatique lettré | informatique lettrée | programmation
literate programming,ø,a programação | ferramentas de programação | literate programming | programação letrada,la programmation | les outils de programmation | literate programming | programmation
loop,bloque | bucle | falso | looop | loop | procesar | variable,loop,boucle
low-level,bajo nivel,baixo nível,bas niveau
mac,español | mac,mac,mac
machine,aprendizaje | computadora | machine | máquina | ordenador,computador | machine | máquina,machine | ordinateur | travail
machine learning,machine learning,aprendizado de máquina | aprendizagem de máquina | machine learning | máquina,ø
macos,macos,macos,macos
main,el archivo | general | main | más importante | principal | principales,principais | principal,la plus | principale | reste
mainpanel,mainpanel,mainpanel,ø
maps engine lite,maps engine lite,maps engine lite,ø
marc,los archivos marc | los registros marc | marc | tus archivos marc,ø,ø
markdown,la | markdown,marcação | mardown | markdown,manuel | mardown | markdown
message-level approach,ø,abordagem no,ø
methodology,metodología,methodology | metodologia,methodology | méthodologie
microsoft word,microsfot word | microsoft word,microsoft word,microsoft word
miniconda,ø,miniconda,ø
mobile mapping,mobile mapping,ø,ø
multilingual sentiment analysis,ø,análise de sentimento,ø
multiplex,múltiples,ø,ø
mybinder,ø,mybinder,mybinder
namespace,namespace,ø,ø
natural language processing,procesamiento de lenguajes naturales,natural language processing | o processamento de linguagem | processamento de linguagem natural,ø
nbconvert,ø,ø,nbconvert
nbviewer,ø,nbviewer,nbviewer
nch software,nch software,ø,ø
network analysis,análisis | análisis de redes | network analysis,análise de rede | análise de redes | network analysis,ø
networkx,networkx,ø,ø
nltk,ø,nltk,ø
nodegoat,nodegoat,ø,ø
normalizing,normalización,normalizada,ø
notebooks,cuadernos,cadernos | notebook | notebooks,carnet | carnets | fichiers | informatiques | les carnets | notebook | notebooks
npr,de,ø,ø
object-oriented,orientado a objetos,orientada a objetos,orienté objet
oclc,oclc,oclc,loclc
ocr,ø,ocr,ø
online,captura | disponibles | disponibles en línea | en | internet | línea | obo | online | recursos | seguridad | sitio | web,arquivo on-line | linha | on-line | online,) | application en ligne | ligne | ligne standard | online | procès | web
openrefine,desplegable | openrefine,openrefine | refine,dopenrefine | openrefine
out-degree,grado,ø,ø
p2j,ø,'p2jque,p2j
page source,fuente | fuente de esta página,código fonte | código-fonte | fonte da página,code source | page | source | source html d'une page
palladio,palladio,palladio,ø
pandoc,pandoc | pandoc-flavored,pandoc,pandoc | pandoc en cherchant installer pandoc
phm-collection,ø,phm-collection,phm-collection
pip,pip,pip,pip
plantpotbot,ø,ø,planteenpot
powershell,powershell,powershell,powershell
press tracer,literatura,press tracer,ø
prince2,prince2,prince2,prince2
programmer,programador | programmer,programador | programming,novices | programmeur
programming historian,historiador programador | historiador-programador | mundo | programming historian | traductora,programming historian,programming historian
programming-historian,de | de trabajo | programming-historian | python-es-lecciones,programming historian | programming-historian,cours | programming-historian
protocol,protocolo,protocolo,protocol | protocole
puedes | you | you can,ø,ø,ø
pymarc,pymarc,ø,ø
pypi,ø,pypi,ø
python,botón | la versión | lección | puede verse una explicación | python | versión,ficheiro csv | python | pythonnas,.python | fichiers | implémenter | leçons | pip | python | python3 | version
python editors,editores de texto para python,editores python,éditeurs compatibles avec python
qgis | qgis,qgis,qgis,ø
r code,código de r | código r,código r,ø
reactivity,reactividad,reatividade,ø
reading machines,reading machines,ø,ø
regular expressions,expresiones regulares | la función | las expresiones | regulares,expressões | expressões regulares | regular expressions,expressions régulières | regular expressions
renv,renv,renv,ø
rstudio,consola | haz | rstudio | rstudios,rstudio,ø
rubber-sheeting,rubber-sheeting | rubbersheeting,rubber-sheeting | rubbersheeting,ø
s2,s2,s2,s2
sampling,muestreo,ø,ø
saxon,hoja | saxon | saxon-he,ø,ø
saxon-he,saxon-he,ø,ø
scantailor,ø,scantailor,ø
sciences humaines,ø,humanidades,sciences humaines
sentimentintensityanalyzer,ø,sentimentintensityanalyzer,ø
server,server | servidor,server | servidor,serveur
sid,ø,que o sid | sid,ø
slice,cortar | slice,recortar | slice,couper ( slice | slice
social network analysis,análisis de redes sociales | social network analysis,ø,ø
source code,código | código abierto | código fuente | fuente | texto libre y de código abierto,código aberto | código-fonte,code source | fichier | texte libre et open source
stack overflow,stack overflow,stack overflow,stack overflow
stackoverflow,stackoverflow,stackoverflow,stackoverflow
statistical modeling,ø,modelagem estatística,ø
stylometry,ø,estilizometria,stylométrie
syntax,sintaxis | sitaxis,sintaxe,syntaxe
templates,plantillas,modelos | templates,d'exemples | modèles
terminal,comandos | repl de python | terminal | terminales,computador | página do pacote | terminal,interface | ordinateur | répertoire | terminal
text mining,minería de texto,mineração | mineração de texto,text mining
the program,al programa | del programa | el programa | este método | la aplicación | la salida de datos del programa | programa | terminal,ao programa | as saídas do programa | do programa | o código | o programa,au programme | le | le code | le programme | un programme | votre code
tokenizers,ø,tokenizadores,ø
topic modeling,modelización de tópicos | topic modeling,modelagem | modelagem de tópicos ( “ topic,la modélisation
tracery,ø,ø,bot | tracery
transformers,transformers,ø,ø
twitterbot,ø,ø,bot twitter | twitter
unicode,unicode,unicode,ø
url | url,ø,ø,ø
urllib,urllib,urllib,urllib
utf-8,uft-8 | utf-8,utf-8,utf-8
utility,ø,utilidade,l'utilitaire
vennmaker,vennmaker,ø,ø
virtual machine,máquina virtual | virtual machine,ø,ø
web developer,desarrollador web | web,desenvolvimento web | navegador | navegador fonte da página no navegador,développement | web
web server,servidor web,servidor,serveur web
wget,wget,wget,ø
whitespace,blanco | espaciado | espacio blanco | espacio en blanco,espaço em branco,caractère invisible | d'espace
windows,páginas | window | windows,windows,mac/linux/windows | windows
wrapper,contenedor | wrapper,wrapper,ø
xcode,xcode,ø,ø
xml,sapsimple_es.xml | xml,xml,xml
xpath,xpath,ø,ø
xpath 2.0,xpath 2.0,ø,ø
xsl,xml | xsl,ø,ø
xslt,basex | xsl | xslt,ø,ø
xslt 2.0,xslt 2.0,ø,ø
yaml,yaml,yaml,yaml
zenodo,ø,zenodo,zenodo
zotero,zotero,zotero,yaml | zotero
